Growless Cave  (2907,5347)  (2979,5309)  (3053,5294)  (3087,5241)  | overflowToLeft=false
Falconwing Square  (5119,1852)  | overflowToLeft=false
Tyr's Hand  (5725,4519)  (5675,4561)  (5675,4511)  (5774,4569)  (5775,4492)  | overflowToLeft=false
Sunblade Coast  (5102,770)  (5118,871)  (5148,964)  | overflowToLeft=false
Northlands  (2022,5926)  (1972,5975)  (1972,5925)  (2071,5976)  (2022,5876)  (2072,5876)  (2072,5926)  (1970,5875)  (2021,6025)  (1971,6025)  (1922,5955)  (2121,5976)  (2121,6026)  (2071,6026)  (2122,5882)  (1920,5905)  (1920,5855)  (1970,5825)  (1902,5805)  (2171,5932)  (1870,5878)  | overflowToLeft=false
Stratholme Gate  (4638,3608)  (4588,3657)  (4588,3607)  (4687,3658)  (4688,3568)  (4538,3666)  (4737,3618)  (4738,3568)  (4788,3568)  | overflowToLeft=false
Dawnstar Village  (4991,508)  (4941,557)  (4941,507)  (5040,558)  (4991,458)  (5041,458)  (5041,508)  (4990,607)  (4940,607)  (4990,557)  (5090,558)  | overflowToLeft=false
Space  (27,267)  (76,268)  (170,272)  (276,272)  (419,281)  (542,287)  (235,395)  (400,402)  (471,401)  (554,401)  (245,485)  (461,500)  (554,499)  | overflowToLeft=false
The North Coast  (2855,3865)  (2805,3898)  (2905,3824)  (2755,3867)  (2955,3817)  (3005,3818)  (3031,3868)  | overflowToLeft=false
Northaeron Mountains  (3645,3652)  (3714,3699)  (3718,3624)  (3774,3686)  (3796,3602)  (3839,3683)  (3880,3614)  (3913,3703)  (3861,3767)  (3932,3784)  (3866,3856)  (3957,3878)  | overflowToLeft=false
Slaughter Square  (3775,242)  (3807,186)  (3864,183)  (3813,124)  (3761,73)  (3822,71)  | overflowToLeft=false
Scarlet Camp  (3623,4336)  (3570,4406)  (3623,4397)  (3608,4463)  | overflowToLeft=false
Stillwater Pond  (2400,4173)  (2350,4222)  (2350,4172)  (2449,4223)  (2450,4141)  (2348,4122)  (2300,4234)  (2300,4184)  (2499,4191)  (2500,4141)  (2298,4134)  (2250,4263)  (2250,4213)  (2248,4163)  | overflowToLeft=false
Exile's Reach  (1146,2597)  (1096,2646)  (1096,2596)  (1195,2647)  (1146,2547)  (1196,2547)  (1196,2597)  (1094,2546)  (1075,2696)  (1046,2646)  (1046,2596)  (1245,2647)  (1245,2697)  (1195,2697)  (1185,2497)  (1246,2500)  (1246,2550)  (1044,2546)  (1025,2717)  (996,2667)  (996,2617)  (1295,2600)  (1295,2650)  (1295,2700)  (1212,2747)  (1296,2517)  (994,2567)  (1298,2750)  (1319,2800)  | overflowToLeft=false
Falthrien Academy  (4680,1564)  (4729,1614)  (4679,1614)  (4669,1514)  (4719,1514)  | overflowToLeft=false
Drywhisker Gorge  (4829,5939)  (4828,5989)  (4786,6028)  (4742,6058)  | overflowToLeft=false
Agamand Mills  (2427,3924)  (2377,3973)  (2377,3923)  (2460,3974)  (2427,3874)  (2477,3874)  (2477,3924)  (2375,3873)  (2410,4023)  (2360,4023)  (2527,3836)  (2527,3886)  | overflowToLeft=false
Undercroft  (4617,4557)  (4670,4533)  (4734,4519)  (4575,4503)  (4494,4483)  | overflowToLeft=false
South Darrowmere River  (3262,5768)  | overflowToLeft=false
Greengill Coast  (5341,642)  (5342,806)  (5298,967)  | overflowToLeft=false
Azurelode Mine  (2844,5835)  (2794,5883)  (2794,5833)  (2888,5885)  (2894,5809)  (2744,5882)  (2944,5813)  | overflowToLeft=false
Tempest's Reach  (2330,6304)  (2280,6325)  (2379,6354)  (2284,6254)  (2334,6254)  (2380,6304)  (2384,6250)  (2329,6375)  (2376,6200)  (2349,6425)  | overflowToLeft=false
Deathknell  (2070,4383)  (2020,4432)  (2020,4382)  (2119,4433)  (2070,4333)  (2120,4333)  (2120,4383)  (2018,4332)  (2065,4482)  (2015,4482)  (2169,4433)  (2129,4283)  (1968,4320)  (2014,4532)  | overflowToLeft=false
Stratholme Square Interior  (3684,812)  (3634,861)  (3634,811)  (3733,862)  (3684,762)  (3734,762)  (3734,812)  (3751,712)  | overflowToLeft=false
Brightwater Shore  (2935,3932)  (2985,3923)  (3003,3973)  (2853,3961)  (3053,3929)  (2807,4011)  (2803,3961)  (3026,4092)  | overflowToLeft=false
Thondroril River  (4171,4145)  | overflowToLeft=false
Sorrow Hill Cemetery  (3828,4811)  (3778,4831)  (3856,4861)  (3878,4788)  (3728,4842)  | overflowToLeft=false
Solliden Farmstead  (2119,4161)  (2069,4191)  (2069,4141)  (2169,4139)  (2169,4189)  (2019,4147)  | overflowToLeft=false
Hatchet Hills  (5520,3356)  (5574,3355)  (5627,3355)  (5682,3353)  (5740,3354)  (5794,3354)  (5516,3414)  (5580,3414)  (5643,3414)  (5715,3415)  (5773,3414)  (5832,3413)  (5519,3475)  (5586,3474)  (5649,3474)  (5731,3473)  (5800,3471)  (5868,3471)  | overflowToLeft=false
Alterac Mountains  (3056,4935)  (3106,4893)  (2975,5033)  (3156,4881)  (2910,5127)  (2937,5177)  (3303,4999)  (2964,5227)  | overflowToLeft=false
Uncharted Island  (1823,2129)  (1773,2178)  (1773,2128)  (1831,2079)  (1873,2129)  (1723,2149)  (1723,2099)  (1923,2132)  | overflowToLeft=false
Zul'Mashar  (5490,3603)  (5440,3652)  (5540,3560)  | overflowToLeft=false
South Plaguewood  (4721,3907)  (4671,3951)  (4671,3901)  (4771,3873)  (4771,3923)  (4621,3945)  (4621,3895)  (4821,3866)  (4821,3916)  (4595,3845)  (4571,3938)  (4871,3886)  (4921,3911)  (4971,3931)  | overflowToLeft=false
Parhelion Plaza  (5036,621)  (5101,622)  (5066,676)  | overflowToLeft=false
The Noxious Glade  (5751,3941)  (5701,3990)  (5701,3940)  (5800,3991)  (5751,3891)  (5801,3907)  (5850,3957)  (5821,4041)  (5635,4061)  | overflowToLeft=false
Tor'Watha  (5696,2351)  (5726,2401)  (5691,2301)  (5615,2263)  (5741,2255)  (5720,2451)  (5665,2251)  (5670,2471)  (5715,2205)  | overflowToLeft=false
The Creeping Ruin  (4751,5366)  (4701,5415)  (4701,5365)  (4800,5416)  (4751,5316)  (4801,5316)  (4801,5366)  | overflowToLeft=false
Southpoint Tower  (2669,5734)  (2619,5783)  (2718,5784)  (2653,5684)  (2703,5684)  (2719,5734)  | overflowToLeft=false
Dabyrie's Farmstead  (4365,5988)  (4315,6006)  (4390,5938)  (4415,5988)  (4440,5928)  | overflowToLeft=false
Northpass Tower  (5199,3725)  (5226,3607)  (5241,3664)  (5265,3727)  (5201,3792)  (5266,3792)  (5202,3856)  (5267,3863)  (5324,3729)  (5322,3793)  (5322,3877)  | overflowToLeft=false
Andorhal  (3655,4672)  (3605,4721)  (3605,4671)  (3704,4722)  (3655,4622)  (3705,4622)  (3705,4672)  (3555,4702)  (3755,4628)  | overflowToLeft=false
Ambermill  (2453,5450)  (2403,5497)  (2403,5447)  (2469,5400)  (2503,5450)  | overflowToLeft=false
Grimscale Shore  (4735,2783)  (4782,2803)  (4832,2815)  | overflowToLeft=false
An'telas  (5424,3078)  (5441,3025)  (5443,2968)  (5499,2930)  (5504,2983)  | overflowToLeft=false
Grey Mountains  (1743,6201)  (1693,6197)  (1792,6251)  (1743,6151)  (1793,6192)  (1688,6147)  (1842,6273)  | overflowToLeft=false
Crushridge Hold  (3182,5021)  | overflowToLeft=false
Hillsbrad Foothills  (3639,5821)  (3640,5871)  (3689,5777)  | overflowToLeft=false
Greenwood Mountains  (4945,3529)  (4895,3550)  (4955,3579)  (4995,3511)  (5005,3561)  (4905,3600)  (5045,3502)  (4955,3646)  (5065,3452)  (5081,3401)  (5095,3502)  (4795,3362)  (5102,3351)  (5145,3497)  (4731,3316)  (4781,3312)  (4681,3294)  (4731,3266)  (4781,3262)  (4631,3290)  | overflowToLeft=false
Quel'Danil Lodge  (4432,5299)  (4382,5348)  (4382,5298)  (4481,5349)  (4432,5249)  (4482,5251)  (4380,5248)  (4332,5364)  (4531,5301)  | overflowToLeft=false
Seradane  (5028,4995)  (4978,5044)  (4978,4994)  (5077,5045)  (5028,4945)  (5078,4945)  (5078,4995)  (4976,4944)  (5027,5094)  (4977,5094)  (5108,5095)  (5026,4895)  (5076,4895)  (5128,4976)  (4948,4894)  | overflowToLeft=false
Circle of Outer Binding  (4332,6111)  (4383,6063)  (4382,6116)  (4431,6122)  (4269,6181)  (4320,6164)  (4376,6174)  (4338,6223)  | overflowToLeft=false
Elrender River  (4722,2180)  | overflowToLeft=false
Farstrider Retreat  (5518,2116)  (5482,2066)  (5532,2066)  (5568,2136)  (5582,2186)  | overflowToLeft=false
Taelan's Tower  (3882,4027)  (3832,4011)  (3914,4077)  (3882,3977)  (3925,4127)  (3830,4239)  | overflowToLeft=false
Nightmare Vale  (2350,4377)  (2300,4426)  (2300,4376)  (2399,4427)  (2350,4327)  (2400,4327)  (2400,4377)  (2298,4326)  | overflowToLeft=false
Darrowshire  (4845,4600)  (4795,4621)  (4895,4568)  (4895,4618)  | overflowToLeft=false
South Twin  (3867,4490)  (3924,4494)  (3986,4488)  (3954,4546)  (4006,4561)  | overflowToLeft=false
Tal'doren  (2131,6412)  (2081,6461)  (2081,6411)  (2181,6380)  (2181,6430)  (2031,6509)  (2231,6382)  | overflowToLeft=false
The Sepulcher  (2054,5103)  (2004,5107)  (2098,5053)  (2104,5103)  | overflowToLeft=false
Ruined Silvermoon Wall  (4988,1889)  | overflowToLeft=false
Overlook River  (4736,5114)  | overflowToLeft=false
Amani Mountains  (5827,2849)  (5777,2852)  (5777,2802)  (5876,2899)  (5827,2799)  (5877,2799)  (5877,2849)  (5826,2902)  (5776,2902)  (5915,2949)  (5726,2949)  (5788,2749)  (5838,2749)  (5888,2749)  (5865,2952)  (5815,2952)  (5938,2999)  (5765,2999)  (5779,2699)  (5829,2699)  (5879,2699)  (5888,3002)  (5838,3002)  (5731,3049)  (5770,2649)  (5820,2649)  (5681,3056)  | overflowToLeft=false
The Uplands  (3285,4882)  (3235,4856)  (3335,4929)  | overflowToLeft=false
Eastwall Tower  (5442,4061)  (5345,3965)  (5412,3944)  (5481,3971)  (5540,3978)  (5413,4001)  (5381,4064)  (5509,4042)  (5378,4130)  (5448,4126)  (5509,4103)  (5383,4189)  | overflowToLeft=false
The Worg Orchards  (2253,4876)  (2203,4918)  (2274,4826)  (2322,4758)  (2327,4708)  (2370,4658)  | overflowToLeft=false
Chillwind Point  (4025,5003)  (4320,4908)  (3879,5082)  (3671,5255)  | overflowToLeft=false
Lordaeron City Gates  (2828,4364)  (2778,4368)  (2808,4314)  (2858,4314)  (2878,4364)  (2728,4368)  (2928,4331)  (2928,4381)  | overflowToLeft=false
Scarlet Watchtower  (2555,4472)  (2505,4476)  (2593,4522)  (2518,4422)  (2568,4422)  (2543,4526)  (2592,4576)  | overflowToLeft=false
Emberstone Mountains  (2538,5869)  (2488,5901)  (2488,5851)  (2588,5846)  (2588,5896)  (2469,5801)  (2638,5875)  (2419,5806)  (2419,5756)  (2487,5751)  (2369,5784)  (2319,5784)  (2269,5795)  (2269,5745)  (2219,5817)  (2219,5767)  | overflowToLeft=false
The Overlook Cliffs  (4842,5820)  (4908,5852)  (4923,5925)  (5005,5863)  (5022,5940)  (5087,5856)  (5102,5955)  (5162,5819)  (5179,5891)  (5202,5739)  (5262,5788)  | overflowToLeft=false
Brightwater Lake  (2904,4136)  (2854,4117)  (2904,4086)  (2954,4065)  (2891,4036)  (2941,4015)  | overflowToLeft=false
Quel'Lithien Lodge  (5052,3626)  (5104,3602)  (5157,3602)  (5106,3663)  (5161,3663)  | overflowToLeft=false
Aerie Mountains  (3826,5164)  (3776,5213)  (3776,5163)  (3875,5214)  (3876,5129)  (3825,5263)  (3775,5263)  (3926,5117)  (3858,5313)  (3808,5313)  (3758,5313)  (3976,5101)  (3976,5151)  (3708,5319)  (3658,5331)  (3853,5363)  (4026,5074)  (4026,5124)  (4026,5174)  (3649,5381)  (3608,5331)  (3599,5385)  (4076,5063)  (4076,5113)  (4076,5163)  (4082,4941)  (4092,4991)  (4112,5213)  (4126,5041)  (4126,5134)  | overflowToLeft=false
Shindigger's Camp  (4213,5153)  (4231,5203)  (4196,5103)  (4235,5253)  (4194,5053)  (4202,5003)  | overflowToLeft=false
Tower of Arathor  (3642,6363)  (3663,6314)  (3721,6316)  (3699,6376)  | overflowToLeft=false
Dalson's Tears  (3716,4383)  (3779,4393)  (3684,4434)  (3744,4450)  (3799,4462)  | overflowToLeft=false
Arathi Peak  (4817,6197)  (4877,6197)  (4946,6199)  (4818,6270)  (4888,6268)  (4967,6269)  (4851,6360)  (4915,6357)  (4985,6355)  (4850,6446)  (4919,6441)  (4980,6439)  (4566,6539)  (4637,6541)  (4712,6540)  (4802,6543)  (4882,6540)  | overflowToLeft=false
Market Row  (3711,670)  (3644,698)  (3566,755)  (3522,715)  (3448,697)  (3432,636)  | overflowToLeft=false
Saltheril Range  (4984,2350)  (4934,2385)  (5034,2324)  (5066,2374)  (4884,2382)  (5084,2324)  | overflowToLeft=false
Stromgarde Keep  (3786,6332)  (3835,6335)  (3885,6311)  | overflowToLeft=false
SZ2  (5280,191)  (5230,240)  (5230,190)  (5329,241)  (5280,141)  (5330,141)  (5330,191)  (5228,140)  (5279,290)  (5229,290)  (5180,240)  (5180,190)  (5379,241)  (5379,291)  (5329,291)  (5179,291)  (5278,91)  (5328,91)  (5378,91)  (5380,141)  (5380,191)  (5178,140)  (5178,90)  (5228,90)  (5428,43)  (5279,340)  (5229,340)  (5130,241)  (5130,191)  (5429,241)  (5429,291)  (5330,341)  (5278,41)  (5328,41)  (5378,41)  (5430,93)  (5430,143)  (5128,141)  (5128,91)  (5128,41)  (5178,40)  (5228,40)  (5439,341)  (5478,6)  (5274,390)  (5224,390)  (5479,193)  (5479,243)  (5480,56)  (5480,106)  (5078,49)  | overflowToLeft=false
Andorhal Road  (3638,4535)  (3588,4576)  (3588,4526)  (3688,4532)  | overflowToLeft=false
The Writhing Haunt  (3855,4630)  (3899,4680)  (3814,4580)  (3905,4612)  (3795,4530)  | overflowToLeft=false
SZ1  (4735,372)  (4685,421)  (4685,371)  (4784,422)  (4735,322)  (4785,322)  (4785,372)  (4683,321)  (4734,471)  (4684,471)  (4635,421)  (4635,371)  (4834,422)  (4834,472)  (4784,472)  (4634,472)  (4733,272)  (4783,272)  (4833,272)  (4835,322)  (4835,372)  (4633,321)  (4633,271)  (4683,271)  (4883,224)  (4734,521)  (4684,521)  (4585,422)  (4585,372)  (4884,422)  (4862,522)  (4812,522)  (4634,522)  (4584,522)  (4584,472)  (4733,222)  (4783,222)  (4833,222)  (4885,274)  (4885,324)  (4583,322)  (4583,272)  (4583,222)  (4633,221)  (4683,221)  (4883,174)  (4933,174)  (4933,224)  (4762,571)  (4712,571)  (4535,422)  (4535,372)  | overflowToLeft=false
Gallow's Corner  (3183,5135)  | overflowToLeft=false
Witherbark Village  (4634,6348)  (4584,6397)  (4584,6347)  (4683,6398)  (4634,6298)  (4684,6299)  (4733,6391)  (4625,6248)  (4675,6248)  | overflowToLeft=false
The Altar of Zul  (4668,5527)  (4618,5547)  (4677,5577)  (4718,5486)  (4727,5536)  (4761,5586)  | overflowToLeft=false
SZ4  (5518,1100)  (5468,1149)  (5468,1099)  (5567,1150)  (5518,1050)  (5568,1050)  (5568,1100)  (5466,1049)  (5517,1199)  (5467,1199)  (5418,1149)  (5418,1099)  (5617,1150)  (5617,1200)  (5567,1200)  (5417,1200)  (5516,1000)  (5566,1000)  (5616,1000)  (5618,1050)  (5618,1100)  (5416,1049)  (5416,999)  (5466,999)  (5666,952)  (5517,1249)  (5467,1249)  (5368,1150)  (5368,1100)  (5667,1150)  (5667,1200)  (5667,1250)  (5617,1250)  (5567,1250)  (5417,1250)  (5367,1250)  (5367,1200)  (5516,950)  (5566,950)  (5616,950)  (5668,1002)  (5668,1052)  (5366,1050)  (5366,1000)  (5374,949)  (5424,949)  (5666,902)  (5716,939)  (5517,1299)  (5467,1299)  (5318,1150)  (5318,1100)  | overflowToLeft=false
Sun's Reach  (5153,400)  (5128,455)  (5194,459)  (5181,520)  (5239,511)  | overflowToLeft=false
SZ3  (5663,496)  (5613,545)  (5613,495)  (5712,546)  (5663,446)  (5713,446)  (5713,496)  (5611,445)  (5662,595)  (5612,595)  (5563,545)  (5563,495)  (5762,546)  (5762,596)  (5712,596)  (5562,596)  (5661,396)  (5711,396)  (5761,396)  (5763,446)  (5763,496)  (5561,445)  (5561,395)  (5611,395)  (5811,348)  (5662,645)  (5612,645)  (5513,546)  (5513,496)  (5812,546)  (5812,596)  (5812,646)  (5762,646)  (5712,646)  (5562,646)  (5512,613)  (5661,346)  (5711,346)  (5761,346)  (5813,398)  (5813,448)  (5511,446)  (5579,345)  (5811,298)  (5861,298)  (5861,348)  (5662,695)  (5612,695)  (5463,561)  (5862,498)  (5862,548)  (5862,598)  (5862,648)  | overflowToLeft=false
Stratholme Gauntlet Interior  (4086,360)  (4036,359)  (4135,410)  (4086,310)  | overflowToLeft=false
SZ6  (6215,2497)  (6165,2546)  (6165,2496)  (6264,2547)  (6215,2447)  (6265,2447)  (6265,2497)  (6163,2446)  (6214,2596)  (6164,2596)  (6115,2546)  (6115,2496)  (6314,2547)  (6314,2597)  (6264,2597)  (6114,2597)  (6213,2397)  (6263,2397)  (6313,2397)  (6315,2447)  (6315,2497)  (6113,2446)  (6113,2396)  (6163,2396)  (6363,2349)  (6214,2646)  (6164,2646)  (6065,2547)  (6065,2497)  (6364,2547)  (6364,2597)  (6364,2647)  (6314,2647)  (6264,2647)  (6114,2647)  (6064,2647)  (6064,2597)  (6213,2347)  (6263,2347)  (6313,2347)  (6365,2399)  (6365,2449)  (6063,2447)  (6063,2397)  (6063,2347)  (6113,2346)  (6163,2346)  (6363,2299)  (6214,2696)  (6164,2696)  (6015,2547)  (6015,2497)  | overflowToLeft=false
Stromgarde City  (3728,6253)  (3782,6208)  (3785,6266)  (3836,6233)  (3892,6234)  | overflowToLeft=false
Darrowmere Shore  (4307,4445)  (4366,4450)  (4419,4462)  (4434,4594)  (4501,4731)  | overflowToLeft=false
SZ5  (6242,1651)  (6192,1700)  (6192,1650)  (6291,1701)  (6242,1601)  (6292,1601)  (6292,1651)  (6190,1600)  (6241,1750)  (6191,1750)  (6142,1700)  (6142,1650)  (6341,1701)  (6341,1751)  (6291,1751)  (6141,1751)  (6240,1551)  (6290,1551)  (6340,1551)  (6342,1601)  (6342,1651)  (6140,1600)  (6140,1550)  (6190,1550)  (6390,1503)  (6241,1800)  (6191,1800)  (6092,1701)  (6092,1651)  (6391,1701)  (6391,1751)  (6391,1801)  (6341,1801)  (6291,1801)  (6141,1801)  (6091,1801)  (6091,1751)  (6240,1501)  (6290,1501)  (6340,1501)  (6392,1553)  (6392,1603)  (6090,1601)  (6090,1551)  (6090,1501)  (6140,1500)  (6190,1500)  (6390,1453)  (6241,1850)  (6191,1850)  (6042,1701)  (6042,1651)  | overflowToLeft=false
Durnholde Keep  (3626,5662)  (3576,5682)  (3576,5632)  (3647,5712)  (3676,5615)  | overflowToLeft=false
Shaol'watha  (5177,5307)  (5127,5315)  (5127,5265)  (5226,5357)  (5227,5301)  (5106,5215)  (5077,5295)  (5276,5351)  | overflowToLeft=false
Arathor Road  (4178,6267)  (4128,6266)  (4217,6317)  (4178,6217)  (4128,6216)  (4192,6367)  | overflowToLeft=false
SZ8  (6306,4581)  (6256,4630)  (6256,4580)  (6355,4631)  (6306,4531)  (6356,4531)  (6356,4581)  (6254,4530)  (6305,4680)  (6255,4680)  (6206,4630)  (6206,4580)  (6393,4681)  (6205,4681)  (6304,4481)  (6354,4481)  (6204,4530)  (6204,4480)  (6254,4480)  (6343,4730)  (6293,4730)  (6156,4631)  (6156,4581)  (6393,4731)  (6243,4731)  (6193,4731)  (6155,4681)  (6304,4431)  (6354,4431)  (6154,4529)  (6154,4479)  (6204,4430)  (6254,4430)  (6153,4429)  (6143,4743)  (6343,4780)  (6293,4780)  (6393,4781)  (6243,4781)  (6193,4781)  (6304,4381)  (6354,4381)  (6203,4380)  (6253,4380)  (6144,4379)  (6143,4793)  (6093,4746)  (6343,4830)  (6293,4830)  (6393,4831)  (6243,4831)  (6193,4831)  | overflowToLeft=false
Havenshire  (5972,4286)  (5922,4335)  (5922,4285)  (6021,4336)  (5972,4236)  (6022,4236)  (6022,4286)  (5920,4235)  (5971,4385)  (5921,4385)  (5872,4305)  (6071,4336)  (6060,4386)  (5970,4186)  (6020,4186)  (6070,4186)  (6072,4236)  (6072,4286)  (5870,4255)  (5885,4185)  | overflowToLeft=false
SZ7  (6350,3405)  (6300,3454)  (6300,3404)  (6393,3455)  (6350,3355)  (6298,3354)  (6343,3504)  (6250,3422)  (6393,3505)  (6348,3305)  (6248,3372)  (6248,3322)  (6298,3304)  (6216,3272)  (6343,3554)  (6393,3555)  (6348,3255)  (6198,3372)  (6198,3322)  (6266,3254)  (6166,3272)  (6166,3222)  (6216,3222)  (6343,3604)  (6393,3605)  (6316,3205)  (6366,3205)  (6266,3204)  (6132,3172)  (6182,3172)  (6343,3654)  (6393,3655)  (6316,3155)  (6366,3155)  (6232,3154)  (6124,3122)  (6174,3122)  (6343,3704)  (6393,3705)  (6282,3105)  (6332,3105)  (6382,3105)  (6224,3104)  (6102,3072)  (6152,3072)  (6343,3754)  (6393,3755)  (6274,3055)  (6324,3055)  (6374,3055)  (6202,3054)  | overflowToLeft=false
SZ9  (5964,5277)  (5914,5326)  (5914,5276)  (6013,5327)  (5964,5227)  (6014,5227)  (6014,5277)  (5912,5226)  (5963,5376)  (5913,5376)  (5864,5326)  (5864,5276)  (6063,5327)  (6063,5377)  (6013,5377)  (5863,5377)  (5962,5177)  (6012,5177)  (6062,5177)  (6064,5227)  (6064,5277)  (5862,5226)  (5862,5176)  (5912,5176)  (6112,5129)  (5963,5426)  (5913,5426)  (5814,5327)  (5814,5277)  (6113,5327)  (6113,5377)  (6113,5427)  (6063,5427)  (6013,5427)  (5863,5427)  (5813,5427)  (5813,5377)  (5962,5127)  (6012,5127)  (6062,5127)  (6114,5179)  (6114,5229)  (5812,5227)  (5812,5177)  (5812,5127)  (5862,5126)  (5912,5126)  (6112,5079)  (6162,5079)  (6162,5129)  (5963,5476)  (5913,5476)  (5764,5327)  (5764,5277)  | overflowToLeft=false
The Hoard  (3017,923)  (2947,867)  (2890,899)  (2960,933)  (2905,975)  | overflowToLeft=false
Golden Strand  (4606,2337)  (4603,2404)  (4668,2337)  (4667,2407)  (4736,2342)  (4725,2408)  (4797,2377)  | overflowToLeft=false
Corin's Crossing  (5151,4407)  (5212,4408)  (5270,4408)  (5332,4409)  (5245,4353)  (5311,4354)  (5278,4299)  | overflowToLeft=false
Zul'Aman  (5906,3143)  (5856,3192)  (5856,3142)  (5955,3193)  (5906,3093)  (5956,3093)  (5956,3143)  (5854,3092)  (5806,3222)  (5806,3172)  (6005,3193)  (6006,3080)  (6006,3130)  (5804,3122)  (6055,3180)  | overflowToLeft=false
The Bulwark  (3263,4501)  (3228,4451)  (3313,4492)  (3333,4542)  | overflowToLeft=false
