Great Fissure  (465,13018)  (415,13044)  (415,12994)  (515,12984)  (515,13034)  | overflowToLeft=false
Ironforge  (3299,7963)  (3249,8012)  (3249,7962)  (3322,8013)  (3299,7913)  (3349,7913)  (3349,7963)  (3247,7912)  (3199,7990)  (3285,8063)  (3399,7918)  (3399,7968)  (3197,7940)  (3449,7924)  (3449,7974)  (3147,7913)  (3499,7938)  (3499,7988)  | overflowToLeft=false
Southpoint Tower  (2669,5734)  (2619,5783)  (2718,5784)  (2653,5684)  (2703,5684)  (2719,5734)  | overflowToLeft=false
Black Breach  (5696,7193)  (5749,7220)  (5808,7265)  (5680,7257)  (5742,7285)  (5800,7330)  | overflowToLeft=false
Zeppelin  (94,84)  (98,134)  (79,34)  | overflowToLeft=false
East Ironforge Mountain  (3532,7710)  (3482,7759)  (3482,7709)  (3581,7760)  (3532,7660)  (3582,7660)  (3582,7710)  (3480,7659)  (3531,7809)  (3481,7809)  (3432,7759)  (3432,7709)  (3631,7760)  (3631,7810)  (3581,7810)  (3530,7610)  (3580,7610)  (3630,7610)  (3632,7660)  (3632,7710)  (3430,7659)  (3430,7609)  (3480,7609)  (3680,7599)  (3531,7859)  (3382,7712)  (3641,7860)  (3591,7860)  (3682,7649)  (3682,7699)  (3380,7662)  (3380,7612)  (3380,7562)  (3430,7559)  (3480,7559)  (3592,7910)  (3330,7679)  (3330,7629)  (3454,7509)  (3504,7509)  (3591,7960)  (3623,8010)  (3573,8045)  (3399,8054)  (3488,8059)  (3538,8095)  (3488,8109)  (3359,8113)  (3504,8159)  (3338,8163)  (3555,8193)  | overflowToLeft=false
Beggar's Haunt  (3658,10915)  | overflowToLeft=false
Ambermill  (2453,5450)  (2403,5497)  (2403,5447)  (2469,5400)  (2503,5450)  | overflowToLeft=false
An'telas  (5424,3078)  (5441,3025)  (5443,2968)  (5499,2930)  (5504,2983)  | overflowToLeft=false
Grey Mountains  (1743,6201)  (1693,6197)  (1792,6251)  (1743,6151)  (1793,6192)  (1688,6147)  (1842,6273)  | overflowToLeft=false
Hillsbrad Foothills  (3639,5821)  (3640,5871)  (3689,5777)  | overflowToLeft=false
North Gate Outpost  (4018,8126)  (4001,8076)  (4046,7985)  | overflowToLeft=false
Farstrider Retreat  (5518,2116)  (5482,2066)  (5532,2066)  (5568,2136)  (5582,2186)  | overflowToLeft=false
Taelan's Tower  (3882,4027)  (3832,4011)  (3914,4077)  (3882,3977)  (3925,4127)  (3830,4239)  | overflowToLeft=false
Sprucewood  (930,8160)  (985,8166)  (942,8105)  (1004,8101)  | overflowToLeft=false
The Rookery  (2050,682)  (2000,712)  (2065,732)  (2100,661)  (1950,711)  (2064,782)  (1916,770)  | overflowToLeft=false
Khaz Modan Mountains  (3937,7781)  (3887,7830)  (3887,7780)  (3986,7831)  (3937,7731)  (3987,7731)  (3987,7781)  (3885,7730)  (3936,7880)  (3886,7880)  (3837,7830)  (3837,7780)  (4036,7831)  (4036,7881)  (3986,7881)  (3836,7881)  (3935,7681)  (3985,7681)  (4035,7681)  (4037,7731)  (4037,7781)  (3835,7730)  (3835,7680)  (3885,7680)  (4085,7633)  (3936,7930)  (3886,7930)  (3787,7831)  (3787,7781)  (3991,7931)  (3836,7931)  (3935,7631)  (3985,7631)  (4035,7631)  (4087,7683)  (4087,7733)  (4087,7783)  (3785,7731)  (3785,7681)  (3785,7631)  (3835,7630)  (3885,7630)  (3941,7980)  (3891,7980)  (3841,7981)  (3777,7581)  (3935,7581)  (4137,7703)  (4137,7753)  (3827,7580)  (3877,7580)  | overflowToLeft=false
Lake Elrendar  (5629,2342)  (5599,2449)  (5566,2703)  (5560,2510)  (5542,2627)  | overflowToLeft=false
Loch Lowland  (4835,8474)  (4884,8524)  (4834,8524)  (4798,8424)  (4848,8424)  (4934,8510)  (4863,8374)  | overflowToLeft=false
The Uplands  (3285,4882)  (3235,4856)  (3335,4929)  | overflowToLeft=false
Lupos Land  (2862,10865)  (2812,10849)  (2911,10915)  (2762,10844)  (2917,10965)  (2712,10835)  | overflowToLeft=false
Summoner's Tomb  (1441,1889)  (1380,1980)  (1433,2054)  | overflowToLeft=false
Dreadmaul Hold  (4328,11194)  (4278,11221)  (4278,11171)  (4378,11167)  | overflowToLeft=false
Dun Modr  (4165,6812)  (4115,6820)  (4196,6862)  (4170,6762)  (4220,6749)  | overflowToLeft=false
Daethmist Mountains  (1673,8955)  (1730,8957)  (1652,9015)  (1708,9012)  (1651,9076)  (1710,9082)  (1756,9043)  (1785,9108)  | overflowToLeft=false
Lonely Road  (3554,10749)  (3504,10771)  (3454,10771)  (3734,10708)  (3784,10695)  | overflowToLeft=false
Blackrock Spire Foothills  (3917,9293)  (3867,9342)  (3867,9292)  (3966,9343)  (3917,9243)  (3967,9243)  (3967,9293)  (3817,9336)  (3817,9286)  (3912,9193)  (3962,9193)  (4012,9193)  (4017,9243)  (3767,9304)  (3906,9143)  (3956,9143)  (4006,9143)  (3754,9254)  (3901,9093)  (3951,9093)  (3704,9280)  (3686,9230)  (3916,9043)  (3966,9043)  (3654,9317)  (3922,8993)  (3604,9354)  | overflowToLeft=false
Quel'Lithien Lodge  (5052,3626)  (5104,3602)  (5157,3602)  (5106,3663)  (5161,3663)  | overflowToLeft=false
Shindigger's Camp  (4213,5153)  (4231,5203)  (4196,5103)  (4235,5253)  (4194,5053)  (4202,5003)  | overflowToLeft=false
Altar of Sacrifice  (4162,11700)  (4112,11749)  (4112,11699)  (4125,11609)  (4191,11642)  (4166,11749)  (4162,11809)  (4139,11862)  | overflowToLeft=false
Argus  (317,10937)  (267,10986)  (267,10936)  (366,10987)  (317,10887)  (367,10887)  (367,10937)  (265,10886)  (316,11036)  (266,11036)  (217,10986)  (217,10936)  (416,10987)  (416,11037)  (366,11037)  (216,11037)  (315,10837)  (365,10837)  (415,10837)  (417,10887)  (417,10937)  (215,10886)  (215,10836)  (265,10836)  (465,10807)  (316,11086)  (266,11086)  (167,10987)  (167,10937)  (466,10987)  (466,11037)  (466,11087)  (416,11087)  (366,11087)  (166,11076)  (315,10787)  (365,10787)  (415,10787)  (467,10857)  (467,10907)  (165,10887)  (165,10837)  (165,10787)  (215,10786)  (265,10786)  (316,11136)  (266,11136)  (117,11026)  (117,10976)  (516,10957)  (516,11007)  (516,11057)  | overflowToLeft=false
Stormwind  (2526,10023)  (2476,10072)  (2476,10022)  (2575,10073)  (2526,9973)  (2576,9973)  (2576,10023)  (2474,9972)  (2525,10122)  (2475,10122)  (2426,10072)  (2426,10022)  (2625,10073)  (2625,10123)  (2575,10123)  (2425,10123)  (2524,9923)  (2574,9923)  (2624,9923)  (2626,9973)  (2626,10023)  (2424,9972)  (2424,9922)  (2474,9922)  (2674,9876)  (2525,10172)  (2376,10073)  (2376,10023)  (2675,10073)  (2675,10123)  (2675,10173)  (2625,10173)  (2575,10173)  (2375,10168)  (2589,9873)  (2676,9926)  (2676,9976)  (2374,9973)  (2374,9923)  (2374,9873)  (2326,10118)  (2326,10068)  (2629,10223)  (2324,10018)  (2324,9968)  (2324,9918)  (2276,10120)  (2276,10070)  (2274,10020)  (2274,9970)  (2274,9920)  | overflowToLeft=false
Deadwind Pass  (4047,11003)  | overflowToLeft=false
Saltheril Range  (4984,2350)  (4934,2385)  (5034,2324)  (5066,2374)  (4884,2382)  (5084,2324)  | overflowToLeft=false
Stromgarde Keep  (3786,6332)  (3835,6335)  (3885,6311)  | overflowToLeft=false
Dragon Isles  (3511,3291)  (3514,3360)  (3578,3342)  (3601,3409)  | overflowToLeft=false
Sun's Reach  (5153,400)  (5128,455)  (5194,459)  (5181,520)  (5239,511)  | overflowToLeft=false
Darrowmere Shore  (4307,4445)  (4366,4450)  (4419,4462)  (4434,4594)  (4501,4731)  | overflowToLeft=false
Durnholde Keep  (3626,5662)  (3576,5682)  (3576,5632)  (3647,5712)  (3676,5615)  | overflowToLeft=false
Shadowmoon Shelf  (862,13383)  (950,13383)  (812,13383)  (762,13383)  (712,13383)  (662,13383)  (1321,13382)  | overflowToLeft=false
Golden Strand  (4606,2337)  (4603,2404)  (4668,2337)  (4667,2407)  (4736,2342)  (4725,2408)  (4797,2377)  | overflowToLeft=false
River Verrall  (5920,7473)  (5603,7369)  (5122,7688)  (5218,7668)  | overflowToLeft=false
Savage Coast  (2779,12213)  (2729,12262)  (2729,12212)  (2829,12194)  (2679,12269)  (2679,12219)  (2879,12194)  (2929,12200)  | overflowToLeft=false
Zul'Aman  (5906,3143)  (5856,3192)  (5856,3142)  (5955,3193)  (5906,3093)  (5956,3093)  (5956,3143)  (5854,3092)  (5806,3222)  (5806,3172)  (6005,3193)  (6006,3080)  (6006,3130)  (5804,3122)  (6055,3180)  | overflowToLeft=false
Stratholme City Interior  (3622,553)  (3572,602)  (3572,552)  (3671,603)  (3622,503)  (3672,503)  (3672,553)  (3570,502)  (3621,652)  (3571,652)  (3522,602)  (3522,552)  (3721,603)  (3721,653)  (3671,653)  (3521,653)  (3620,453)  (3670,453)  (3720,453)  (3722,503)  (3722,553)  (3520,502)  (3520,452)  (3570,452)  (3770,405)  (3621,702)  (3571,702)  (3472,603)  (3472,553)  (3771,603)  (3771,653)  (3771,703)  (3721,703)  (3671,703)  (3521,703)  (3471,703)  (3471,653)  (3620,403)  (3670,403)  (3720,403)  (3772,455)  (3772,505)  (3470,503)  (3470,453)  (3470,403)  (3520,402)  (3570,402)  (3770,355)  (3820,355)  (3820,405)  (3621,752)  (3571,752)  (3422,603)  (3422,553)  | overflowToLeft=false
The Dark Portal  (4546,11655)  (4496,11704)  (4496,11654)  (4593,11705)  (4546,11605)  (4596,11605)  (4596,11655)  (4446,11654)  | overflowToLeft=false
Booty Bay  (2591,12987)  (2541,13000)  (2641,12970)  (2641,13020)  (2503,12949)  | overflowToLeft=false
Wayward Thicket  (974,8983)  (914,8992)  (863,9025)  (811,9062)  (873,9078)  (934,9047)  | overflowToLeft=false
Agol'watha  (4709,5220)  (4659,5258)  (4659,5208)  (4759,5196)  (4809,5173)  (4809,5223)  | overflowToLeft=false
Cold Hearth Manor  (2569,4311)  (2519,4360)  (2519,4310)  (2539,4260)  | overflowToLeft=false
Deadwash  (1092,7912)  (1148,7905)  (1201,7917)  (1254,7934)  (1112,7855)  | overflowToLeft=false
Ruins of Jubuwal  (2895,12523)  (2845,12572)  (2845,12522)  (2906,12573)  (2895,12473)  (2945,12473)  (2945,12523)  (2795,12577)  (2795,12527)  (2995,12490)  | overflowToLeft=false
Northfold Manor  (3931,5872)  (3967,5922)  (3917,5922)  (3885,5822)  (3935,5822)  (3981,5872)  (3985,5818)  (3896,5972)  (3864,5772)  (3914,5772)  | overflowToLeft=false
Northaeron  (4043,3457)  (3989,3515)  | overflowToLeft=false
Stonard  (4610,10969)  (4560,10981)  (4651,11019)  (4654,10919)  | overflowToLeft=false
The Molten Span  (1651,897)  (1579,770)  (1531,881)  (1433,989)  (1579,1032)  | overflowToLeft=false
Lordamere Lake  (2658,4924)  (2608,4973)  (2608,4923)  (2707,4974)  (2658,4874)  (2708,4874)  (2708,4924)  (2606,4873)  (2657,5023)  (2607,5023)  (2558,4973)  (2558,4923)  (2757,4974)  (2757,5024)  (2707,5024)  (2557,5024)  (2656,4824)  (2706,4824)  (2756,4824)  (2758,4874)  (2758,4924)  (2556,4873)  (2556,4823)  (2606,4823)  (2806,4776)  (2657,5073)  (2607,5073)  (2508,4974)  (2508,4924)  (2807,4974)  (2807,5024)  (2742,5074)  (2557,5074)  (2507,5074)  (2507,5024)  (2656,4774)  (2706,4774)  (2756,4774)  (2808,4826)  (2808,4876)  (2506,4874)  (2506,4824)  (2506,4774)  (2556,4773)  (2606,4773)  (2806,4726)  (2856,4726)  (2856,4776)  (2649,5123)  (2458,4974)  (2458,4924)  | overflowToLeft=false
Infectis Scar  (5102,4339)  (5164,4320)  (5056,4272)  (5114,4269)  (5180,4257)  (5251,4232)  (5182,4193)  (5115,4193)  (5055,4208)  | overflowToLeft=false
Upland Mountains  (3380,4840)  (3330,4793)  (3429,4890)  (3282,4743)  (3332,4743)  (3479,4917)  (3506,4967)  (3232,4772)  (3232,4722)  (3551,4917)  (3556,4967)  (3556,5017)  (3506,5017)  (3182,4756)  (3182,4706)  (3606,4960)  (3132,4751)  | overflowToLeft=false
Angerfang Encampment  (4152,7248)  (4102,7239)  (4202,7254)  (4222,7304)  (4052,7227)  | overflowToLeft=false
Skald  (972,11462)  (949,11512)  (929,11564)  (1075,11529)  | overflowToLeft=false
Refuge Pointe  (4156,6059)  (4208,6059)  (4260,6056)  (4154,6112)  (4207,6113)  (4259,6114)  | overflowToLeft=false
Crystal Spine  (693,11316)  (643,11329)  (743,11301)  (593,11369)  (793,11299)  (543,11403)  (843,11316)  (893,11316)  (943,11324)  | overflowToLeft=false
Northshire Mountains  (3699,10122)  (3649,10171)  (3649,10121)  (3748,10172)  (3699,10072)  (3749,10072)  (3749,10122)  (3647,10071)  (3698,10221)  (3648,10221)  (3798,10172)  (3798,10222)  (3748,10222)  (3697,10022)  (3799,10053)  (3799,10103)  (3597,10084)  (3597,10034)  (3647,10021)  (3698,10271)  (3848,10153)  (3848,10203)  (3827,10272)  (3777,10272)  (3849,10086)  (3547,10029)  (3899,10106)  (3497,9996)  (3447,9992)  (3397,10015)  (3397,9965)  (3347,10004)  (3297,10024)  (3297,9974)  (3264,10227)  (3247,10036)  (3214,10220)  (3213,10089)  (3208,10170)  (3163,10069)  | overflowToLeft=false
The Scarlet Bastion  (3207,774)  (3149,764)  (3199,829)  (3131,826)  (3087,885)  | overflowToLeft=false
The Shining Strand  (2442,4685)  (2576,4632)  (2512,4685)  | overflowToLeft=false
Forge Camp Mageddon  (1126,12581)  (1226,12495)  (1238,12445)  (1245,12395)  (1231,12345)  | overflowToLeft=false
Blade's Run  (218,12388)  (168,12437)  (168,12387)  (267,12438)  (218,12338)  (268,12338)  (268,12388)  (166,12337)  (217,12487)  (167,12487)  (118,12437)  (317,12438)  (117,12488)  (318,12352)  (152,12287)  (68,12438)  (367,12402)  (367,12452)  (368,12348)  (34,12388)  (417,12398)  (417,12448)  (467,12429)  | overflowToLeft=false
Maisara Hills  (5818,2294)  (5861,2344)  (5811,2344)  (5804,2244)  (5868,2282)  (5851,2394)  (5801,2394)  (5791,2194)  (5833,2444)  (5746,2144)  (5796,2144)  (5695,2136)  (5846,2122)  (5827,2494)  (5828,2072)  (5878,2072)  (5777,2540)  (5827,2544)  (5815,2022)  (5865,2022)  | overflowToLeft=false
Render's Valley  (4530,10552)  (4480,10558)  (4580,10549)  | overflowToLeft=false
Nethander Stead  (3426,5885)  (3376,5888)  (3475,5935)  (3476,5863)  (3343,5838)  (3526,5873)  | overflowToLeft=false
Forge Camp Terror  (68,12219)  (86,12269)  | overflowToLeft=false
Blackwood Lake  (5076,4100)  (5096,4031)  (5150,4109)  (5215,4116)  (5279,4115)  (5283,4056)  (5222,4053)  (5164,4037)  (5248,3993)  (5185,3982)  (5123,3969)  (5037,4011)  (5062,3957)  (5035,3902)  (5109,3915)  (5189,3931)  | overflowToLeft=false
Sanctum of the Moon  (4886,2903)  (4936,2876)  (4936,2926)  | overflowToLeft=false
Westfall Lighthouse  (1788,11098)  | overflowToLeft=false
The Darkened Bank  (3197,10726)  (3247,10714)  (3256,10764)  (3306,10728)  (3356,10730)  (3014,10756)  (2964,10798)  | overflowToLeft=false
Waning Glacier  (771,8292)  (824,8314)  (883,8315)  (729,8330)  (672,8347)  (722,8394)  (784,8352)  (822,8402)  | overflowToLeft=false
Lakeshire Highway  (4225,10241)  | overflowToLeft=false
Redpine Dell  (3672,4264)  (3731,4269)  (3701,4322)  (3763,4325)  | overflowToLeft=false
Shadowforge Garrison  (1247,1650)  (1250,1724)  | overflowToLeft=false
Circle of East Binding  (4522,5914)  (4578,5862)  (4574,5916)  (4514,5966)  (4565,5970)  | overflowToLeft=false
Chill Breeze Valley  (2817,8339)  (2767,8388)  (2767,8338)  (2847,8389)  (2817,8289)  (2867,8289)  (2867,8339)  (2842,8439)  (2917,8280)  | overflowToLeft=false
Hangman's Point  (820,8865)  (872,8867)  (871,8920)  (927,8869)  (926,8924)  (985,8895)  | overflowToLeft=false
West Ironforge Mountain  (2852,7840)  (2802,7889)  (2802,7839)  (2901,7890)  (2852,7790)  (2902,7790)  (2902,7840)  (2800,7789)  (2851,7939)  (2801,7939)  (2752,7889)  (2752,7839)  (2951,7890)  (2951,7940)  (2901,7940)  (2751,7940)  (2850,7740)  (2900,7740)  (2952,7790)  (2952,7840)  (2750,7789)  (2750,7739)  (2800,7739)  (2702,7890)  (2702,7840)  (3001,7890)  (2717,7990)  (2701,7940)  (3002,7810)  (2700,7790)  (2700,7740)  (2700,7690)  (2750,7689)  (2800,7689)  (2667,8024)  (3037,7759)  (2652,7890)  (2652,7840)  (3051,7860)  (3051,7910)  (2651,7974)  (2651,7640)  (3052,7809)  (2650,7790)  (2650,7740)  (2650,7690)  (2701,7639)  (3084,7960)  (2617,8031)  (3087,7709)  (3087,7759)  | overflowToLeft=false
Ironband's Compound  (3833,8460)  (3783,8491)  (3783,8441)  | overflowToLeft=false
Ruins of Zul'Mamwe  (3296,12255)  (3246,12304)  (3317,12305)  (3288,12205)  (3338,12205)  (3237,12354)  (3266,12155)  (3316,12155)  (3187,12334)  (3366,12147)  | overflowToLeft=false
Grim Batol Mountains  (4778,7421)  (4728,7470)  (4728,7420)  (4827,7471)  (4778,7371)  (4828,7371)  (4828,7421)  (4726,7370)  (4777,7520)  (4678,7497)  (4678,7447)  (4877,7471)  (4877,7521)  (4827,7521)  (4776,7321)  (4826,7321)  (4876,7321)  (4878,7371)  (4878,7421)  (4676,7397)  (4676,7347)  (4726,7320)  (4628,7497)  (4628,7447)  (4927,7471)  (4927,7521)  (4928,7352)  (4928,7402)  (4626,7397)  (4606,7592)  (4610,7642)  | overflowToLeft=false
Thandol Mountains  (3964,6433)  (3914,6451)  (3914,6401)  (4014,6427)  (3864,6465)  (3864,6415)  (4064,6398)  (4064,6448)  (4063,6538)  (4013,6565)  (3814,6492)  (3814,6442)  (3963,6585)  (4063,6588)  (3913,6589)  (3764,6493)  (3764,6443)  | overflowToLeft=false
Dark Iron Highway  (1154,1642)  (1214,1599)  (1289,1613)  (1342,1667)  | overflowToLeft=false
Morgan's Vigil  (4810,9979)  (4760,9952)  (4842,10029)  (4841,9929)  (4860,9979)  (4710,9945)  | overflowToLeft=false
Sungraze Peak  (5350,2858)  (5300,2899)  (5300,2849)  (5350,2808)  (5400,2808)  (5400,2858)  (5290,2799)  (5250,2878)  (5450,2843)  (5240,2792)  | overflowToLeft=false
Zeppelin Crash  (852,13130)  (802,13144)  (902,13120)  | overflowToLeft=false
Fuselight-by-the-Sea  (5362,8688)  (5312,8682)  (5412,8719)  | overflowToLeft=false
Stratholme  (4624,3446)  (4574,3495)  (4574,3445)  (4673,3496)  (4624,3396)  (4674,3396)  (4674,3446)  (4572,3395)  (4524,3479)  (4723,3496)  (4724,3405)  (4522,3429)  (4522,3379)  (4506,3329)  (4773,3493)  (4456,3316)  | overflowToLeft=false
Terrordale  (4434,3815)  (4384,3835)  (4483,3865)  (4434,3765)  (4484,3765)  (4484,3815)  (4334,3846)  (4434,3715)  | overflowToLeft=false
Thuron's Livery  (5443,1962)  (5393,1973)  (5493,1934)  (5493,1984)  (5349,2055)  (5343,1942)  (5386,2105)  (5299,2062)  (5293,1956)  | overflowToLeft=false
Razor Ridge  (710,12196)  (663,11936)  (718,11906)  (768,11882)  | overflowToLeft=false
Hellfire Peninsula  (436,12843)  (485,12893)  (435,12893)  (393,12793)  (443,12793)  (486,12843)  (374,12743)  | overflowToLeft=false
Dreadscar Rift  (986,10912)  (936,10961)  (936,10911)  (1035,10962)  (986,10862)  (1036,10862)  (1036,10912)  (934,10861)  (985,11011)  (935,11011)  (886,10961)  (886,10911)  (1085,10962)  (1085,11012)  (1035,11012)  (885,11012)  (984,10812)  (1034,10812)  (1084,10812)  (1086,10862)  (1086,10912)  (884,10861)  (884,10811)  (934,10811)  (1134,10775)  (985,11061)  (935,11061)  (836,10962)  (836,10912)  (1135,10962)  (1135,11012)  (1135,11062)  (1085,11062)  (1035,11062)  (885,11062)  (835,11062)  (835,11012)  (999,10762)  (1049,10762)  (1136,10825)  (1136,10875)  (834,10862)  (834,10812)  (834,10762)  (968,11111)  (786,10962)  (1185,10925)  (1185,10975)  (1171,11112)  (918,11112)  (868,11112)  (818,11112)  (785,11062)  (785,11012)  | overflowToLeft=false
Brightwood Grove  (3356,10937)  (3405,10987)  (3355,10987)  (3308,10887)  (3358,10887)  (3406,10937)  (3408,10885)  (3399,11037)  (3349,11037)  (3326,10837)  (3376,10835)  (3299,11051)  | overflowToLeft=false
Misty Pine Refuge  (3351,8253)  (3301,8291)  (3398,8203)  (3401,8253)  | overflowToLeft=false
Beren's Peril  (2403,5593)  (2353,5614)  (2353,5564)  (2453,5565)  (2453,5615)  | overflowToLeft=false
King's Road  (3654,4912)  (3666,4998)  (3627,5083)  (3626,5142)  | overflowToLeft=false
Silvermoon City Wall  (5277,1847)  | overflowToLeft=false
Bloodmaul Outpost  (387,12207)  (398,12257)  (348,12257)  (365,12157)  (415,12157)  | overflowToLeft=false
Coldridge Pass  (3052,8543)  (3002,8565)  (3102,8493)  (3152,8459)  (2845,8510)  | overflowToLeft=false
Third Corner Hills  (3999,10693)  (3949,10676)  (4023,10743)  (3973,10743)  (4049,10661)  (3947,10626)  (4025,10793)  (3975,10793)  (4099,10656)  (3925,10807)  (4071,10843)  (4021,10843)  (4149,10611)  (4149,10661)  (4024,10893)  (4199,10614)  (4199,10664)  (4224,10714)  (4249,10619)  (4299,10613)  (4299,10663)  (4349,10648)  (4369,10698)  | overflowToLeft=false
Thalassian Pass  (5183,3404)  (5232,3454)  (5163,3354)  (5263,3504)  (5213,3532)  | overflowToLeft=false
Southshore  (3144,5780)  (3094,5829)  (3094,5779)  (3193,5830)  (3144,5730)  (3194,5730)  (3194,5780)  (3044,5841)  (3044,5791)  (3177,5680)  (3244,5692)  | overflowToLeft=false
Sofera's Naze  (3216,5244)  (3220,5297)  (3273,5268)  (3326,5281)  | overflowToLeft=false
East Darrowmere Range  (5296,4796)  (5360,4796)  (5434,4797)  (5506,4799)  (5575,4800)  (5648,4799)  (5295,4863)  (5357,4865)  (5434,4864)  (5510,4864)  (5581,4863)  (5650,4864)  (5295,4929)  (5359,4930)  (5434,4930)  (5511,4930)  (5591,4927)  | overflowToLeft=false
The Fingers  (2924,5436)  (3021,5487)  (3098,5409)  (3169,5396)  | overflowToLeft=false
The Skittering Dark  (1891,4767)  (1841,4786)  (1841,4736)  (1941,4775)  | overflowToLeft=false
